Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
1,81800.023438, 129244.000000, 209203.500000, 289776.500000, 402728.656250, 579923.000000
2,17820.000000, 28155.597656, 45574.648438, 63127.355469, 87733.796875, 126335.335938
3,64840.000000, 102447.210938, 165828.312500, 229695.703125, 319228.906250, 459684.656250
4,53140.000000, 83961.187500, 135905.546875, 188248.515625, 261625.937500, 376737.343750
5,107860.000000, 170418.734375, 275851.937500, 382094.187500, 531031.000000, 764676.062500
6,57600.000000, 91008.000000, 147312.000000, 204048.000000, 283584.000000, 408356.687500
7,59760.000000, 94420.796875, 152836.203125, 211699.781250, 294218.312500, 423669.718750
8,122740.000000, 193929.250000, 313907.562500, 434806.312500, 604289.875000, 870168.125000
9,76200.000000, 120396.000000, 194881.500000, 269938.500000, 375158.000000, 540222.000000
10,79959.976562, 126336.804688, 204497.687500, 283258.406250, 393669.718750, 566878.125000
11,77840.031250, 122987.203125, 199075.812500, 275748.093750, 383232.312500, 551848.500000
12,81879.976562, 129370.406250, 209408.093750, 290059.906250, 403122.718750, 580490.250000
13,102459.992188, 161886.734375, 262041.437500, 362964.687500, 504444.750000, 726392.312500
14,131260.000000, 207390.765625, 335697.437500, 464988.656250, 646237.500000, 930570.625000
15,81159.976562, 128232.804688, 207566.687500, 287509.375000, 399577.750000, 575385.937500
16,115500.000000, 182490.000000, 295391.250000, 409158.750000, 568645.000000, 818840.000000
17,133860.000000, 211498.765625, 342346.937500, 474199.125000, 659037.437500, 949003.500000
18,86480.015625, 136638.406250, 221172.593750, 306355.406250, 425770.000000, 613100.812500
19,88620.000000, 140019.609375, 226645.656250, 313936.343750, 436305.968750, 628273.625000
20,117640.000000, 185871.265625, 300864.312500, 416739.562500, 579180.875000, 834012.062500
21,5919.999512, 9353.602539, 15140.400391, 20971.599609, 29146.130859, 41969.976562
22,135859.984375, 214658.781250, 347461.937500, 481284.125000, 668884.062500, 963183.062500
23,23760.000000, 37540.816406, 60766.203125, 84169.773438, 116978.421875, 168447.125000
24,115880.000000, 183090.406250, 296363.093750, 410504.968750, 570515.562500, 821533.500000
25,71540.023438, 113033.203125, 182963.562500, 253430.453125, 352215.437500, 507184.531250
26,63680.000000, 100614.375000, 162861.593750, 225586.453125, 313518.343750, 451460.906250
27,58280.000000, 92082.367188, 149051.093750, 206456.968750, 286932.250000, 413177.406250
28,72860.023438, 115118.796875, 186339.437500, 258106.546875, 358714.156250, 516542.687500
29,41200.011719, 65096.000000, 105369.000000, 145951.000000, 202841.328125, 292087.968750
30,102620.007812, 162139.640625, 262450.656250, 363531.281250, 505232.562500, 727526.875000
31,94040.007812, 148583.265625, 240507.312500, 333136.593750, 462990.250000, 666697.812500
32,112500.000000, 177750.000000, 287718.750000, 398531.250000, 553875.000000, 797571.500000
33,83780.023438, 132372.406250, 214267.343750, 296790.656250, 412477.031250, 593960.562500
34,56520.000000, 89301.632812, 144549.906250, 200222.031250, 278266.812500, 400699.781250
35,82460.023438, 130286.796875, 210891.437500, 292114.562500, 405978.093750, 584602.125000
36,53020.000000, 83771.632812, 135598.656250, 187823.281250, 261035.125000, 375886.625000
37,134779.984375, 212952.421875, 344699.875000, 477458.156250, 663566.750000, 955525.750000
38,93020.015625, 146971.640625, 237898.656250, 329523.343750, 457968.468750, 659467.437500
39,85640.015625, 135311.234375, 219024.312500, 303379.687500, 421634.250000, 607145.500000
40,34740.000000, 54889.191406, 88847.546875, 123066.460938, 171036.593750, 246290.109375
41,72840.000000, 115087.203125, 186288.312500, 258035.703125, 358615.593750, 516401.062500
42,153480.000000, 242498.406250, 392525.125000, 543702.687500, 755633.187500, 1088099.750000
43,31120.000000, 49169.601562, 79589.406250, 110242.601562, 153214.359375, 220625.890625
44,110900.000000, 175222.000000, 283626.750000, 392863.250000, 545997.687500, 786228.312500
45,61260.000000, 96790.796875, 156672.453125, 217013.546875, 301603.281250, 434303.968750
46,64340.000000, 101657.203125, 164549.562500, 227924.453125, 316767.656250, 456139.843750
47,83300.023438, 131614.000000, 213039.750000, 295090.250000, 410113.656250, 590557.312500
48,89340.000000, 141157.265625, 228487.062500, 316486.937500, 439850.687500, 633377.875000
49,119980.000000, 189568.406250, 306848.843750, 425029.187500, 590702.187500, 850601.125000
50,56720.000000, 89617.632812, 145061.406250, 200930.531250, 279251.343750, 402118.093750
51,46639.992188, 73691.179688, 119281.796875, 165222.203125, 229624.265625, 330655.906250
52,54020.000000, 85351.632812, 138156.156250, 191365.781250, 265958.312500, 382976.125000
53,112700.000000, 178066.000000, 288230.250000, 399239.750000, 554859.812500, 798989.250000
54,125440.000000, 198195.250000, 320812.812500, 444371.062500, 617582.937500, 889309.812500
55,37660.015625, 59502.804688, 96315.453125, 133410.531250, 185412.687500, 266991.468750
56,66080.000000, 104406.382812, 168999.593750, 234088.437500, 325334.250000, 468475.718750
57,33360.000000, 52708.808594, 85318.203125, 118177.781250, 164242.390625, 236506.421875
58,2719.999512, 4297.602051, 6956.400391, 9635.599609, 13391.465820, 19283.498047
59,55260.000000, 87310.804688, 141327.453125, 195758.500000, 272063.343750, 391767.000000
60,174259.968750, 275330.812500, 445669.937500, 617316.062500, 857940.250000, 1235420.125000
61,93500.015625, 147730.000000, 239126.250000, 331223.750000, 460331.625000, 662870.687500
62,57820.000000, 91355.632812, 147874.656250, 204827.281250, 284666.750000, 409916.156250
63,48199.996094, 76156.000000, 123271.500000, 170748.500000, 237304.703125, 341715.062500
64,91920.000000, 145233.625000, 235085.406250, 325626.593750, 452552.968750, 651669.187500
65,42739.988281, 67529.203125, 109307.546875, 151406.453125, 210423.328125, 303006.156250
66,38719.984375, 61177.605469, 99026.406250, 137165.546875, 190631.453125, 274506.000000
67,72579.976562, 114676.398438, 185623.343750, 257114.656250, 357335.593750, 514557.750000
68,82119.976562, 129749.601562, 210021.906250, 290910.093750, 404303.937500, 582191.625000
69,142759.968750, 225560.796875, 365108.687500, 505727.343750, 702855.125000, 1012100.312500
70,210160.000000, 332052.750000, 537484.187500, 744492.000000, 1034687.750000, 1489934.125000
71,101040.000000, 159643.265625, 258409.812500, 357934.062500, 497453.687500, 716325.437500
72,134719.984375, 212857.609375, 344546.375000, 477245.593750, 663270.875000, 955100.500000
73,102300.000000, 161634.000000, 261632.250000, 362397.750000, 503657.000000, 725258.312500
74,57560.000000, 90944.796875, 147209.703125, 203906.265625, 283387.187500, 408073.250000
75,87879.984375, 138850.390625, 224753.093750, 311314.906250, 432662.625000, 623027.187500
76,76100.031250, 120238.000000, 194625.750000, 269584.250000, 374665.562500, 539512.750000
77,95700.000000, 151206.000000, 244752.750000, 339017.250000, 471163.000000, 678467.500000
78,36979.988281, 58428.402344, 94576.343750, 131001.648438, 182064.796875, 262170.625000
79,135540.000000, 214153.234375, 346643.562500, 480150.375000, 667308.562500, 960913.750000
80,130860.000000, 206758.750000, 334674.437500, 463571.656250, 644267.375000, 927734.875000
81,25479.998047, 40258.410156, 65165.101562, 90262.882812, 125446.523438, 180641.078125
82,107640.000000, 170071.265625, 275289.312500, 381314.562500, 529947.750000, 763116.437500
83,140440.031250, 221895.234375, 359175.312500, 497508.656250, 691432.937500, 995652.562500
84,179440.031250, 283515.218750, 458917.812500, 635666.187500, 883442.812500, 1272144.500000
85,139320.000000, 220125.593750, 356310.875000, 493541.093750, 685918.812500, 987712.125000
86,34720.007812, 54857.601562, 88796.406250, 122995.601562, 170938.250000, 246148.265625
87,45499.992188, 71890.000000, 116366.250000, 161183.750000, 224011.671875, 322573.343750
88,182179.968750, 287844.531250, 465925.375000, 645372.562500, 896932.812500, 1291569.000000
89,12000.000000, 18960.000000, 30690.000000, 42510.000000, 59080.000000, 85074.281250
90,111920.000000, 176833.609375, 286235.406250, 396476.500000, 551019.375000, 793459.500000
91,118500.000000, 187230.000000, 303063.750000, 419786.250000, 583415.000000, 840108.562500
92,61040.000000, 96443.203125, 156109.796875, 216234.203125, 300520.656250, 432744.531250
93,16340.000000, 25817.199219, 41789.546875, 57884.449219, 80447.273438, 115842.843750
94,37740.000000, 59629.195312, 96520.046875, 133693.968750, 185806.593750, 267558.437500
95,14280.000000, 22562.408203, 36521.101562, 50586.882812, 70305.203125, 101238.390625
96,152940.000000, 241645.218750, 391144.062500, 541789.687500, 752974.625000, 1084271.250000
97,58480.000000, 92398.367188, 149562.593750, 207165.468750, 287916.562500, 414595.406250
98,98600.007812, 155788.000000, 252169.500000, 349290.500000, 485440.562500, 699026.812500
99,47260.003906, 74670.820312, 120867.453125, 167418.546875, 232676.734375, 335050.875000
100,34200.000000, 54036.000000, 87466.500000, 121153.500000, 168378.000000, 242461.656250
101,35980.011719, 56848.398438, 92018.843750, 127459.148438, 177141.593750, 255081.109375
102,50700.000000, 80106.000000, 129665.250000, 179604.750000, 249613.000000, 359438.843750
103,103419.992188, 163403.625000, 264496.656250, 366365.250000, 509171.093750, 733198.562500
104,36120.000000, 57069.601562, 92376.906250, 127955.101562, 177830.796875, 256073.625000
105,89880.000000, 142010.375000, 229868.093750, 318399.906250, 442509.031250, 637206.375000
106,78720.000000, 124377.601562, 201326.406250, 278865.562500, 387564.812500, 558087.375000
107,153820.062500, 243035.593750, 393394.625000, 544907.562500, 757307.187500, 1090512.000000
108,50040.000000, 79063.179688, 127977.296875, 177266.718750, 246363.546875, 354759.750000
109,57120.000000, 90249.632812, 146084.406250, 202347.531250, 281220.812500, 404953.562500
